Age;M;F;Country;Year
0-4;1909034;1821187;Colombia;2019
5-9;1901364;1817214;Colombia;2019
10-14;2012212;1926240;Colombia;2019
15-19;2190322;2102840;Colombia;2019
20-24;2245324;2174810;Colombia;2019
25-29;2200760;2158324;Colombia;2019
30-34;1988639;1988713;Colombia;2019
35-39;1812321;1877349;Colombia;2019
40-44;1602286;1741381;Colombia;2019
45-49;1404684;1590822;Colombia;2019
50-54;1363536;1524046;Colombia;2019
55-59;1200731;1357301;Colombia;2019
60-64;923540;1091859;Colombia;2019
65-69;742739;875170;Colombia;2019
70-74;508959;615886;Colombia;2019
75-79;330755;426791;Colombia;2019
80-84;210441;286573;Colombia;2019
85-89;108724;160249;Colombia;2019
90-94;43501;67175;Colombia;2019
95-99;12055;19825;Colombia;2019
100+;1266;2495;Colombia;2019
