,ciudad_de_ubicaci_n,fecha_reporte_web,conteo_confirmados,conteo_recuperado,conteo_fallecidos,casos_activos,acumulado_dia_confirmados,acumulado_dia_recuperado,acumulado_dia_fallecidos,acumulado_dia_activos
677,Medellín,2020-03-09,1,1.0,0.0,0.0,1,1.0,0.0,0.0
678,Medellín,2020-03-11,2,2.0,0.0,0.0,3,3.0,0.0,0.0
679,Medellín,2020-03-14,2,2.0,0.0,0.0,5,5.0,0.0,0.0
680,Medellín,2020-03-15,1,1.0,0.0,0.0,6,6.0,0.0,0.0
681,Medellín,2020-03-19,3,3.0,0.0,0.0,9,9.0,0.0,0.0
682,Medellín,2020-03-20,7,7.0,0.0,0.0,16,16.0,0.0,0.0
683,Medellín,2020-03-21,1,1.0,0.0,0.0,17,17.0,0.0,0.0
684,Medellín,2020-03-22,2,2.0,0.0,0.0,19,19.0,0.0,0.0
685,Medellín,2020-03-23,13,13.0,0.0,0.0,32,32.0,0.0,0.0
686,Medellín,2020-03-25,6,6.0,0.0,0.0,38,38.0,0.0,0.0
687,Medellín,2020-03-28,4,4.0,0.0,0.0,42,42.0,0.0,0.0
688,Medellín,2020-03-29,8,8.0,0.0,0.0,50,50.0,0.0,0.0
689,Medellín,2020-03-30,8,8.0,0.0,0.0,58,58.0,0.0,0.0
690,Medellín,2020-03-31,4,4.0,0.0,0.0,62,62.0,0.0,0.0
691,Medellín,2020-04-01,1,1.0,0.0,0.0,63,63.0,0.0,0.0
692,Medellín,2020-04-02,10,10.0,0.0,0.0,73,73.0,0.0,0.0
693,Medellín,2020-04-03,11,11.0,0.0,0.0,84,84.0,0.0,0.0
694,Medellín,2020-04-04,2,2.0,0.0,0.0,86,86.0,0.0,0.0
695,Medellín,2020-04-05,9,9.0,0.0,0.0,95,95.0,0.0,0.0
696,Medellín,2020-04-06,5,4.0,1.0,0.0,100,99.0,1.0,0.0
697,Medellín,2020-04-07,13,13.0,0.0,0.0,113,112.0,1.0,0.0
698,Medellín,2020-04-08,27,27.0,0.0,0.0,140,139.0,1.0,0.0
699,Medellín,2020-04-09,2,2.0,0.0,0.0,142,141.0,1.0,0.0
700,Medellín,2020-04-10,5,5.0,0.0,0.0,147,146.0,1.0,0.0
701,Medellín,2020-04-11,3,3.0,0.0,0.0,150,149.0,1.0,0.0
702,Medellín,2020-04-12,7,7.0,0.0,0.0,157,156.0,1.0,0.0
703,Medellín,2020-04-13,10,10.0,0.0,0.0,167,166.0,1.0,0.0
704,Medellín,2020-04-14,13,13.0,0.0,0.0,180,179.0,1.0,0.0
705,Medellín,2020-04-15,10,10.0,0.0,0.0,190,189.0,1.0,0.0
706,Medellín,2020-04-16,4,3.0,1.0,0.0,194,192.0,2.0,0.0
707,Medellín,2020-04-17,6,6.0,0.0,0.0,200,198.0,2.0,0.0
708,Medellín,2020-04-18,8,8.0,0.0,0.0,208,206.0,2.0,0.0
709,Medellín,2020-04-19,11,10.0,1.0,0.0,219,216.0,3.0,0.0
